part_id,category,subcategory,first_observed_month,last_observed_month,months_observed,total_demand,avg_demand,median_demand,demand_std,max_demand,positive_months,zero_months,adi,cv2,seasonality_strength,zero_demand_share,positive_demand_share,cv,profile
MED-0001,IMAGING,TRANSDUCERS,2023-07-01,2025-12-01,30,114,3.8,0.0,9.083520508458504,44,7,23,4.285714285714286,0.6091874422899355,8.157894736842106,0.7666666666666667,0.23333333333333334,2.3904001338048695,INTERMITTENT
MED-0002,IMAGING,COOLING COMPONENTS,2022-01-01,2025-12-01,48,66,1.375,0.0,2.3666566776334994,8,15,33,3.2,0.23465171192443915,2.1818181818181817,0.6875,0.3125,1.7212048564607267,STABLE
MED-0003,IMAGING,TRANSDUCERS,2023-07-01,2025-12-01,30,58,1.9333333333333333,0.0,5.159078595449286,22,5,25,6.0,0.39239001189060657,3.793103448275862,0.8333333333333334,0.16666666666666666,2.6684889286806652,INTERMITTENT
MED-0004,IMAGING,TRANSDUCERS,2022-07-01,2025-12-01,42,172,4.095238095238095,0.0,13.291863500193704,77,7,35,6.0,1.0273796646836129,6.267441860465117,0.8333333333333334,0.16666666666666666,3.2456875988845093,LUMPY
MED-0005,IMAGING,DETECTOR COMPONENTS,2023-07-01,2025-12-01,30,74,2.466666666666667,0.0,5.341660166402701,20,6,24,5.0,0.1279766252739226,3.7837837837837838,0.8,0.2,2.165537905298392,INTERMITTENT
MED-0006,IMAGING,DETECTOR COMPONENTS,2022-07-01,2025-12-01,42,92,2.1904761904761907,0.0,6.298424484521836,34,7,35,6.0,0.5971172022684309,5.173913043478261,0.8333333333333334,0.16666666666666666,2.8753676994556203,INTERMITTENT
MED-0007,IMAGING,CABLES,2022-07-01,2025-12-01,42,28,0.6666666666666666,0.0,1.5565231214608657,7,9,33,4.666666666666667,0.39891581632653056,3.75,0.7857142857142857,0.21428571428571427,2.3347846821912985,INTERMITTENT
MED-0008,IMAGING,POWER COMPONENTS,2022-01-01,2025-12-01,48,126,2.625,2.0,2.795322841325138,18,43,5,1.1162790697674418,0.9117295948361711,1.9047619047619047,0.10416666666666667,0.8958333333333334,1.064884891933386,STABLE
MED-0009,IMAGING,DETECTOR COMPONENTS,2023-01-01,2025-12-01,36,97,2.6944444444444446,2.5,1.7859682359108573,8,32,4,1.125,0.2772362768660068,1.360824742268041,0.1111111111111111,0.8888888888888888,0.6628335720906274,STABLE
MED-0010,IMAGING,CABLES,2022-07-01,2025-12-01,42,69,1.6428571428571428,0.0,7.867256715208708,49,3,39,14.0,1.0056710775047262,9.942028985507246,0.9285714285714286,0.07142857142857142,4.788764957083561,RARE
MED-0011,IMAGING,COOLING COMPONENTS,2022-01-01,2025-12-01,48,114,2.375,0.0,8.760707733967616,56,6,42,8.0,0.9484764542936287,5.894736842105263,0.875,0.125,3.6887190458811014,INTERMITTENT
MED-0012,IMAGING,POWER COMPONENTS,2024-01-01,2025-12-01,24,35,1.4583333333333333,0.0,5.064618674573692,24,3,21,8.0,0.8546938775510207,8.22857142857143,0.875,0.125,3.472881376850532,INTERMITTENT
MED-0013,IMAGING,CABLES,2024-01-01,2025-12-01,24,60,2.5,0.0,8.19331647030729,39,4,20,6.0,1.1762962962962962,7.8,0.8333333333333334,0.16666666666666666,3.2773265881229157,LUMPY
MED-0014,IMAGING,MOTORS,2022-01-01,2025-12-01,48,156,3.25,3.0,1.8042503010769237,11,47,1,1.0212765957446808,0.28062558957207784,1.2307692307692308,0.020833333333333332,0.9791666666666666,0.5551539387928996,STABLE
MED-0015,IMAGING,DETECTOR COMPONENTS,2022-01-01,2025-12-01,48,113,2.3541666666666665,0.0,7.2331670569508395,42,7,41,6.857142857142857,0.5761610149581017,5.84070796460177,0.8541666666666666,0.14583333333333334,3.0724957410056666,INTERMITTENT
MED-0016,IMAGING,USER INTERFACE,2022-07-01,2025-12-01,42,76,1.8095238095238095,0.0,5.734951018304002,33,6,36,7.0,0.652354570637119,7.921052631578948,0.8571428571428571,0.14285714285714285,3.1693150364311586,INTERMITTENT
MED-0017,IMAGING,MOTORS,2024-01-01,2025-12-01,24,96,4.0,3.5,2.874172848876245,16,24,0,1.0,0.5163043478260869,2.0,0.0,1.0,0.7185432122190613,STABLE
MED-0018,IMAGING,CONTROL MODULES,2022-01-01,2025-12-01,48,202,4.208333333333333,4.0,2.9532407971030334,16,45,3,1.0666666666666667,0.3984235057169083,1.3663366336633664,0.0625,0.9375,0.7017601894106219,STABLE
MED-0019,IMAGING,COOLING COMPONENTS,2022-01-01,2025-12-01,48,79,1.6458333333333333,0.0,2.884216648200836,14,16,32,3.0,0.35806227634460286,2.430379746835443,0.6666666666666666,0.3333333333333333,1.7524354318182296,STABLE
MED-0020,IMAGING,CONTROL MODULES,2023-07-01,2025-12-01,30,179,5.966666666666667,5.0,5.997029916224527,33,29,1,1.0344827586206897,0.943168797121545,3.184357541899441,0.03333333333333333,0.9666666666666667,1.0050888127750603,STABLE
MED-0021,IMAGING,USER INTERFACE,2023-07-01,2025-12-01,30,120,4.0,0.0,15.08824616758996,76,3,27,10.0,0.7131249999999998,13.875,0.9,0.1,3.77206154189749,INTERMITTENT
MED-0022,IMAGING,USER INTERFACE,2022-01-01,2025-12-01,48,283,5.895833333333333,5.0,3.765688224138908,19,46,2,1.0434782608695652,0.3487137226502182,1.1448763250883394,0.041666666666666664,0.9583333333333334,0.6387033030341611,STABLE
MED-0023,IMAGING,USER INTERFACE,2022-01-01,2025-12-01,48,187,3.8958333333333335,3.0,3.4778299869947227,14,43,5,1.1162790697674418,0.609033307051552,1.3475935828877006,0.10416666666666667,0.8958333333333334,0.8927050233997149,STABLE
MED-0024,IMAGING,COOLING COMPONENTS,2024-01-01,2025-12-01,24,54,2.25,0.0,5.29355637831834,21,5,19,4.8,0.3918038408779149,4.666666666666667,0.7916666666666666,0.20833333333333334,2.35269172369704,INTERMITTENT
MED-0025,IMAGING,COOLING COMPONENTS,2022-01-01,2025-12-01,48,96,2.0,0.0,4.806909919971811,20,8,40,6.0,0.12499999999999997,2.75,0.8333333333333334,0.16666666666666666,2.4034549599859054,INTERMITTENT
MED-0026,IMAGING,COOLING COMPONENTS,2022-01-01,2025-12-01,48,86,1.7916666666666667,0.0,4.399991940676049,18,8,40,6.0,0.1724484277215483,2.9302325581395348,0.8333333333333334,0.16666666666666666,2.4558094552610505,INTERMITTENT
MED-0027,IMAGING,POWER COMPONENTS,2023-07-01,2025-12-01,30,75,2.5,2.0,2.1932498324600886,10,25,5,1.2,0.4722222222222222,1.6,0.16666666666666666,0.8333333333333334,0.8772999329840354,STABLE
MED-0028,IMAGING,COOLING COMPONENTS,2022-01-01,2025-12-01,48,101,2.1041666666666665,0.0,4.686965099504329,20,10,38,4.8,0.2449650905684628,3.326732673267327,0.7916666666666666,0.20833333333333334,2.2274685621406713,INTERMITTENT
MED-0029,IMAGING,MOTORS,2023-07-01,2025-12-01,30,88,2.933333333333333,3.0,1.4840144374549435,5,29,1,1.0344827586206897,0.21318809031877223,1.1931818181818183,0.03333333333333333,0.9666666666666667,0.5059140127687308,STABLE
MED-0030,IMAGING,POWER COMPONENTS,2023-07-01,2025-12-01,30,124,4.133333333333334,4.0,2.897482061868645,14,27,3,1.1111111111111112,0.34012046746177854,1.5322580645161288,0.1,0.9,0.7010037246456399,STABLE
MED-0031,IMAGING,COOLING COMPONENTS,2024-01-01,2025-12-01,24,11,0.4583333333333333,0.0,1.6145847942957392,7,2,22,12.0,0.14876033057851237,7.636363636363637,0.9166666666666666,0.08333333333333333,3.522730460281613,LUMPY
MED-0032,IMAGING,POWER COMPONENTS,2024-07-01,2025-12-01,18,90,5.0,4.5,4.934869924979846,21,15,3,1.2,0.6428571428571429,1.9,0.16666666666666666,0.8333333333333334,0.9869739849959691,STABLE
MED-0033,IMAGING,DETECTOR COMPONENTS,2023-07-01,2025-12-01,30,35,1.1666666666666667,0.0,2.817229420759943,10,5,25,6.0,0.13265306122448978,4.285714285714286,0.8333333333333334,0.16666666666666666,2.414768074937094,INTERMITTENT
MED-0034,IMAGING,CONTROL MODULES,2024-01-01,2025-12-01,24,77,3.2083333333333335,2.0,2.7501646854509363,10,22,2,1.0909090909090908,0.5889212827988339,1.4025974025974026,0.08333333333333333,0.9166666666666666,0.857194187673019,STABLE
MED-0035,IMAGING,CABLES,2022-01-01,2025-12-01,48,168,3.5,3.0,1.5298449372125573,8,48,0,1.0,0.1910551454624403,0.9285714285714286,0.0,1.0,0.4370985534893021,STABLE
