part_id,date,demand,microarea,category,subcategory,history_months,n_positive,coverage,adi,cv2,seasonality_strength,profile,history_before_current,previous_demand,baseline_q1,baseline_q3,baseline_median,baseline_iqr,upper_bound,outlier_method,is_quantity_outlier,year,previous_yearly_demand,yearly_ratio,passes_yearly_validation,previous_positive_date,has_previous_demand,months_since_previous_demand,previous_positive_demand,historical_positive_count,reactivation_demand_threshold,unusual_gap,is_reactivation,is_anomaly,anomaly_type,anomaly_score
MED-0004,2024-07-01,36,CENTRAL,IMAGING,TRANSDUCERS,42.0,7.0,0.16666666666666666,6.0,1.0273796646836129,6.267441860465117,LUMPY,24,0.0,12.75,14.25,13.5,1.5,33.75,MEDIAN_STRICT_LUMPY,True,2024,48.0,0.75,False,2023-10-01,True,9.00131406044678,,5,11.0,True,True,True,EXCEPTIONAL_SPIKE,1.0666666666666667
MED-0006,2023-07-01,18,WEST,IMAGING,DETECTOR COMPONENTS,42.0,7.0,0.16666666666666666,6.0,0.5971172022684309,5.173913043478261,LUMPY,12,0.0,6.0,8.0,7.0,2.0,17.5,MEDIAN_STRICT_LUMPY,True,2023,5.0,5.4,True,2023-01-01,True,5.946123521681997,,2,6.0,False,False,True,EXCEPTIONAL_SPIKE,1.0285714285714285
MED-0007,2025-07-01,7,EAST,IMAGING,CABLES,42.0,9.0,0.21428571428571427,4.666666666666667,0.39891581632653056,3.75,INTERMITTENT,36,0.0,1.25,1.75,1.5,0.5,4.5,MEDIAN_RELAXED_INTERMITTENT,True,2025,1.0,10.0,True,2025-04-01,True,2.9894875164257555,,8,1.75,False,False,True,EXCEPTIONAL_SPIKE,1.5555555555555556
MED-0008,2024-03-01,6,EAST,IMAGING,POWER COMPONENTS,48.0,43.0,0.8958333333333334,1.1162790697674418,0.9117295948361711,1.9047619047619049,ERRATIC,26,1.0,1.0,2.0,2.0,1.0,5.0,IQR_ERRATIC,True,2024,26.0,1.1538461538461537,False,2024-02-01,True,0.9526938239159001,1.0,24,1.75,False,False,True,EXCEPTIONAL_SPIKE,1.2
MED-0008,2024-09-01,3,CENTRAL,IMAGING,POWER COMPONENTS,48.0,43.0,0.8958333333333334,1.1162790697674418,0.9117295948361711,1.9047619047619049,ERRATIC,32,2.0,1.75,2.0,2.0,0.25,2.75,IQR_ERRATIC,True,2024,26.0,1.1538461538461537,False,2024-08-01,True,1.0183968462549278,2.0,30,2.0,False,False,True,EXCEPTIONAL_SPIKE,1.0909090909090908
MED-0014,2024-04-01,11,CENTRAL,IMAGING,MOTORS,48.0,47.0,0.9791666666666666,1.0212765957446808,0.28062558957207784,1.2307692307692308,STABLE,27,2.0,2.75,4.0,4.0,1.25,10.208726403433653,POISSON_STABLE,True,2024,38.0,1.263157894736842,False,2024-03-01,True,1.0183968462549278,2.0,27,2.0,False,False,True,EXCEPTIONAL_SPIKE,1.0775095310909897
MED-0016,2025-05-01,33,WEST,IMAGING,USER INTERFACE,42.0,6.0,0.14285714285714285,7.0,0.652354570637119,7.921052631578948,LUMPY,34,0.0,10.5,11.5,11.0,1.0,27.5,MEDIAN_STRICT_LUMPY,True,2025,30.0,1.3666666666666667,False,2024-12-01,True,4.9605781865965834,,4,7.25,False,False,True,EXCEPTIONAL_SPIKE,1.2
MED-0018,2023-02-01,16,EAST,IMAGING,CONTROL MODULES,48.0,45.0,0.9375,1.0666666666666667,0.3984235057169083,1.3663366336633664,STABLE,13,3.0,3.0,5.5,3.5,2.5,12.07638567088799,POISSON_STABLE,True,2023,54.0,1.2407407407407407,False,2023-01-01,True,1.0183968462549278,3.0,13,3.0,False,False,True,EXCEPTIONAL_SPIKE,1.3248997204991966
MED-0018,2024-05-01,11,NORTH,IMAGING,CONTROL MODULES,48.0,45.0,0.9375,1.0666666666666667,0.3984235057169083,1.3663366336633664,STABLE,28,2.0,2.0,5.0,3.5,3.0,10.685948405941259,POISSON_STABLE,True,2024,67.0,0.6417910447761194,False,2024-04-01,True,0.9855453350854139,2.0,28,3.0,False,False,True,EXCEPTIONAL_SPIKE,1.0293892111517338
MED-0020,2024-04-01,17,WEST,IMAGING,CONTROL MODULES,30.0,29.0,0.9666666666666667,1.0344827586206897,0.943168797121545,3.184357541899441,ERRATIC,9,6.0,3.0,5.0,4.0,2.0,11.0,IQR_ERRATIC,True,2024,17.0,4.235294117647059,True,2024-03-01,True,1.0183968462549278,6.0,8,3.0,False,False,True,EXCEPTIONAL_SPIKE,1.5454545454545454
MED-0020,2025-05-01,33,WEST,IMAGING,CONTROL MODULES,30.0,29.0,0.9666666666666667,1.0344827586206897,0.943168797121545,3.184357541899441,ERRATIC,22,8.0,4.0,7.25,4.0,3.25,17.0,IQR_ERRATIC,True,2025,72.0,1.25,False,2025-04-01,True,0.9855453350854139,8.0,21,4.0,False,False,True,EXCEPTIONAL_SPIKE,1.9411764705882353
MED-0022,2025-09-01,19,SOUTH,IMAGING,USER INTERFACE,48.0,46.0,0.9583333333333334,1.0434782608695652,0.3487137226502182,1.1448763250883394,STABLE,44,5.0,3.0,6.25,5.0,3.25,13.416237101988091,POISSON_STABLE,True,2025,75.0,0.9066666666666666,False,2025-08-01,True,1.0183968462549278,5.0,42,4.0,False,False,True,EXCEPTIONAL_SPIKE,1.4161944109637474
MED-0023,2025-10-01,10,NORTH,IMAGING,USER INTERFACE,48.0,43.0,0.8958333333333334,1.1162790697674418,0.609033307051552,1.3475935828877006,ERRATIC,45,4.0,1.75,3.25,3.0,1.5,7.75,IQR_ERRATIC,True,2025,54.0,0.9074074074074074,False,2025-09-01,True,0.9855453350854139,4.0,40,2.0,False,False,True,EXCEPTIONAL_SPIKE,1.2903225806451613
MED-0027,2025-09-01,10,WEST,IMAGING,POWER COMPONENTS,30.0,25.0,0.8333333333333334,1.2,0.4722222222222222,1.6,STABLE,26,5.0,1.0,2.25,1.5,1.25,6.7621972533688774,POISSON_STABLE,True,2025,26.0,1.1153846153846154,False,2025-08-01,True,1.0183968462549278,5.0,23,2.0,False,False,True,EXCEPTIONAL_SPIKE,1.4788092723882127
MED-0030,2024-09-01,14,CENTRAL,IMAGING,POWER COMPONENTS,30.0,27.0,0.9,1.1111111111111112,0.34012046746177854,1.5322580645161288,STABLE,14,2.0,2.75,5.0,3.5,2.25,10.685948405941259,POISSON_STABLE,True,2024,28.0,2.0357142857142856,True,2024-08-01,True,1.0183968462549278,2.0,14,3.0,False,False,True,EXCEPTIONAL_SPIKE,1.3101317232840248
MED-0032,2025-11-01,21,SOUTH,IMAGING,POWER COMPONENTS,18.0,15.0,0.8333333333333334,1.2,0.6428571428571429,1.9,ERRATIC,16,7.0,2.75,7.0,5.0,4.25,19.75,IQR_ERRATIC,True,2025,15.0,5.0,True,2025-10-01,True,1.0183968462549278,7.0,14,3.25,False,False,True,EXCEPTIONAL_SPIKE,1.0632911392405062
MED-0041,2025-03-01,7,SOUTH,IMAGING,COOLING COMPONENTS,30.0,7.0,0.23333333333333334,4.285714285714286,0.42800788954635094,4.038461538461538,INTERMITTENT,20,0.0,1.25,1.75,1.5,0.5,4.5,MEDIAN_RELAXED_INTERMITTENT,True,2025,14.0,0.8571428571428571,False,2024-10-01,True,4.9605781865965834,,4,1.75,False,False,True,EXCEPTIONAL_SPIKE,1.5555555555555556
MED-0047,2023-04-01,10,WEST,IMAGING,POWER COMPONENTS,48.0,40.0,0.8333333333333334,1.2,0.5477727765696208,1.7435897435897436,ERRATIC,15,6.0,1.0,3.0,2.5,2.0,9.0,IQR_ERRATIC,True,2023,20.0,1.7,False,2023-03-01,True,1.0183968462549278,6.0,13,1.0,False,False,True,EXCEPTIONAL_SPIKE,1.1111111111111112
MED-0048,2022-12-01,49,EAST,IMAGING,DETECTOR COMPONENTS,48.0,9.0,0.1875,5.333333333333333,1.4518544722576534,7.821428571428571,LUMPY,11,0.0,13.0,17.0,15.0,4.0,37.5,MEDIAN_STRICT_LUMPY,True,2022,,,True,2022-05-01,True,7.030223390275952,,2,13.0,True,True,True,EXCEPTIONAL_SPIKE,1.3066666666666666
MED-0048,2023-12-01,97,EAST,IMAGING,DETECTOR COMPONENTS,48.0,9.0,0.1875,5.333333333333333,1.4518544722576534,7.821428571428571,LUMPY,23,0.0,18.25,38.75,28.5,20.5,71.25,MEDIAN_STRICT_LUMPY,True,2023,79.0,1.3291139240506329,False,2023-03-01,True,9.034165571616294,,4,10.25,True,True,True,EXCEPTIONAL_SPIKE,1.3614035087719298
MED-0053,2025-05-01,9,EAST,IMAGING,CONTROL MODULES,36.0,34.0,0.9444444444444444,1.0588235294117647,0.7931795161283864,2.0000000000000004,ERRATIC,28,2.0,1.75,3.5,3.0,1.75,8.75,IQR_ERRATIC,True,2025,53.0,1.4150943396226414,False,2025-04-01,True,0.9855453350854139,2.0,26,3.0,False,False,True,EXCEPTIONAL_SPIKE,1.0285714285714285
MED-0053,2025-09-01,28,EAST,IMAGING,CONTROL MODULES,36.0,34.0,0.9444444444444444,1.0588235294117647,0.7931795161283864,2.0000000000000004,ERRATIC,32,4.0,2.75,4.25,3.0,1.5,8.75,IQR_ERRATIC,True,2025,53.0,1.4150943396226414,False,2025-08-01,True,1.0183968462549278,4.0,30,3.0,False,False,True,EXCEPTIONAL_SPIKE,3.2
MED-0059,2023-01-01,16,CENTRAL,IMAGING,MOTORS,42.0,42.0,1.0,1.0,0.2767987804878049,0.8166666666666665,STABLE,6,10.0,4.5,6.75,6.0,2.25,14.858137581688283,POISSON_STABLE,True,2023,37.0,2.324324324324324,True,2022-12-01,True,1.0183968462549278,10.0,6,4.5,False,False,True,EXCEPTIONAL_SPIKE,1.0768509789355425
MED-0061,2025-07-01,30,EAST,IMAGING,USER INTERFACE,48.0,45.0,0.9375,1.0666666666666667,0.615681818181818,1.32,ERRATIC,42,2.0,3.5,7.0,6.0,3.5,17.5,IQR_ERRATIC,True,2025,62.0,1.3548387096774193,False,2025-06-01,True,0.9855453350854139,2.0,39,3.0,False,False,True,EXCEPTIONAL_SPIKE,1.7142857142857142
MED-0062,2025-08-01,13,EAST,IMAGING,MOTORS,42.0,36.0,0.8571428571428571,1.1666666666666667,0.38043477091992267,1.4171779141104297,STABLE,37,1.0,1.0,4.25,2.5,3.25,9.229131355830765,POISSON_STABLE,True,2025,57.0,0.6491228070175439,False,2025-07-01,True,1.0183968462549278,1.0,32,2.0,False,False,True,EXCEPTIONAL_SPIKE,1.4085832673501697
