part_id,date,demand,microarea,category,subcategory,history_months,n_positive,coverage,adi,cv2,seasonality_strength,profile,history_before_current,previous_demand,baseline_q1,baseline_q3,baseline_median,baseline_iqr,upper_bound,outlier_method,calendar_month,seasonal_factor,seasonally_adjusted_demand,seasonal_history_count,seasonal_expected_demand,seasonal_upper_bound,is_quantity_outlier,year,previous_yearly_demand,yearly_ratio,passes_yearly_validation,previous_positive_date,has_previous_demand,months_since_previous_demand,previous_positive_demand,historical_positive_count,reactivation_demand_threshold,unusual_gap,is_reactivation,is_anomaly,anomaly_type,anomaly_score
MED-0001,2023-07-01,9,WEST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,0,,,,,,,MEDIAN_RELAXED_LUMPY,,,,,,,False,2023,,,True,,False,,,0,inf,False,False,False,NORMAL,0.0
MED-0001,2023-08-01,0,WEST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,1,9.0,,,,,,MEDIAN_RELAXED_LUMPY,,,,,,,False,2023,,,True,2023-07-01,True,1.0183968462549278,9.0,1,9.0,False,False,False,NORMAL,0.0
MED-0001,2023-09-01,0,NORTH,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,2,0.0,,,,,,MEDIAN_RELAXED_LUMPY,,,,,,,False,2023,,,True,2023-07-01,True,2.0367936925098555,,1,9.0,False,False,False,NORMAL,0.0
MED-0001,2023-10-01,0,WEST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,3,0.0,,,,,,MEDIAN_RELAXED_LUMPY,,,,,,,False,2023,,,True,2023-07-01,True,3.0223390275952693,,1,9.0,False,False,False,NORMAL,0.0
MED-0001,2023-11-01,0,WEST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,4,0.0,,,,,,MEDIAN_RELAXED_LUMPY,,,,,,,False,2023,,,True,2023-07-01,True,4.040735873850197,,1,9.0,False,False,False,NORMAL,0.0
MED-0001,2023-12-01,0,WEST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,5,0.0,,,,,,MEDIAN_RELAXED_LUMPY,,,,,,,False,2023,,,True,2023-07-01,True,5.026281208935611,,1,9.0,False,False,False,NORMAL,0.0
MED-0001,2024-01-01,0,SOUTH,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,6,0.0,,,,,,MEDIAN_RELAXED_LUMPY,,,,,,,False,2024,9.0,7.222222222222222,True,2023-07-01,True,6.044678055190539,,1,9.0,True,False,False,NORMAL,0.0
MED-0001,2024-02-01,0,WEST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,7,0.0,,,,,,MEDIAN_RELAXED_LUMPY,,,,,,,False,2024,9.0,7.222222222222222,True,2023-07-01,True,7.063074901445466,,1,9.0,True,False,False,NORMAL,0.0
MED-0001,2024-03-01,0,WEST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,8,0.0,,,,,,MEDIAN_RELAXED_LUMPY,,,,,,,False,2024,9.0,7.222222222222222,True,2023-07-01,True,8.015768725361367,,1,9.0,True,False,False,NORMAL,0.0
MED-0001,2024-04-01,44,CENTRAL,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,9,0.0,,,,,,MEDIAN_RELAXED_LUMPY,,,,,,,False,2024,9.0,7.222222222222222,True,2023-07-01,True,9.034165571616294,,1,9.0,True,True,False,NORMAL,0.0
MED-0001,2024-05-01,0,WEST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,10,44.0,17.75,35.25,26.5,17.5,79.5,MEDIAN_RELAXED_LUMPY,,,,,,,False,2024,9.0,7.222222222222222,True,2024-04-01,True,0.9855453350854139,44.0,2,17.75,False,False,False,NORMAL,0.0
MED-0001,2024-06-01,0,WEST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,11,0.0,17.75,35.25,26.5,17.5,79.5,MEDIAN_RELAXED_LUMPY,,,,,,,False,2024,9.0,7.222222222222222,True,2024-04-01,True,2.0039421813403417,,2,17.75,False,False,False,NORMAL,0.0
MED-0001,2024-07-01,0,CENTRAL,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,12,0.0,17.75,35.25,26.5,17.5,79.5,MEDIAN_RELAXED_LUMPY,,,,,,,False,2024,9.0,7.222222222222222,True,2024-04-01,True,2.9894875164257555,,2,17.75,False,False,False,NORMAL,0.0
MED-0001,2024-08-01,0,WEST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,13,0.0,,,,,,MEDIAN_RELAXED_LUMPY,,,,,,,False,2024,9.0,7.222222222222222,True,2024-04-01,True,4.0078843626806835,,2,17.75,False,False,False,NORMAL,0.0
MED-0001,2024-09-01,9,SOUTH,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,14,0.0,,,,,,MEDIAN_RELAXED_LUMPY,,,,,,,False,2024,9.0,7.222222222222222,True,2024-04-01,True,5.026281208935611,,2,17.75,False,False,False,NORMAL,0.0
MED-0001,2024-10-01,0,WEST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,15,9.0,17.75,35.25,26.5,17.5,79.5,MEDIAN_RELAXED_LUMPY,,,,,,,False,2024,9.0,7.222222222222222,True,2024-09-01,True,0.9855453350854139,9.0,3,9.0,False,False,False,NORMAL,0.0
MED-0001,2024-11-01,12,EAST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,16,0.0,17.75,35.25,26.5,17.5,79.5,MEDIAN_RELAXED_LUMPY,,,,,,,False,2024,9.0,7.222222222222222,True,2024-09-01,True,2.0039421813403417,,3,9.0,False,False,False,NORMAL,0.1509433962264151
MED-0001,2024-12-01,0,NORTH,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,17,12.0,10.5,28.0,12.0,17.5,36.0,MEDIAN_RELAXED_LUMPY,,,,,,,False,2024,9.0,7.222222222222222,True,2024-11-01,True,0.9855453350854139,12.0,4,9.0,False,False,False,NORMAL,0.0
MED-0001,2025-01-01,0,WEST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,18,0.0,10.5,28.0,12.0,17.5,36.0,MEDIAN_RELAXED_LUMPY,,,,,,,False,2025,65.0,0.6153846153846154,False,2024-11-01,True,2.0039421813403417,,4,9.0,False,False,False,NORMAL,0.0
MED-0001,2025-02-01,0,WEST,IMAGING,TRANSDUCERS,30.0,7.0,0.23333333333333334,4.285714285714286,0.6091874422899355,8.157894736842106,LUMPY,19,0.0,10.5,28.0,12.0,17.5,36.0,MEDIAN_RELAXED_LUMPY,,,,,,,False,2025,65.0,0.6153846153846154,False,2024-11-01,True,3.0223390275952693,,4,9.0,False,False,False,NORMAL,0.0
