PART_ID,DATE,EVENT_TYPE
MED-0001,2023-07-01,NEW_PRODUCT
MED-0001,2024-04-01,REACTIVATION
MED-0002,2022-01-01,NEW_PRODUCT
MED-0004,2024-07-01,REACTIVATION
MED-0004,2025-04-01,REACTIVATION
MED-0006,2024-02-01,REACTIVATION
MED-0008,2022-01-01,NEW_PRODUCT
MED-0008,2022-02-01,LARGE_ORDER
MED-0008,2024-05-01,MAINTENANCE_EVENT
MED-0009,2023-01-01,NEW_PRODUCT
MED-0010,2023-11-01,REACTIVATION
MED-0010,2025-02-01,REACTIVATION
MED-0011,2022-10-01,LARGE_ORDER
MED-0012,2025-08-01,REACTIVATION
MED-0013,2024-08-01,LARGE_ORDER
MED-0013,2025-09-01,REACTIVATION
MED-0014,2022-01-01,NEW_PRODUCT
MED-0015,2025-08-01,REACTIVATION
MED-0016,2024-12-01,EMERGENCY_REPLACEMENT
MED-0016,2025-05-01,REACTIVATION
MED-0017,2024-01-01,NEW_PRODUCT
MED-0017,2024-06-01,LARGE_ORDER
MED-0018,2022-01-01,NEW_PRODUCT
MED-0018,2023-02-01,LARGE_ORDER
MED-0019,2022-03-01,EMERGENCY_REPLACEMENT
MED-0019,2025-02-01,REACTIVATION
MED-0020,2023-07-01,NEW_PRODUCT
MED-0020,2024-04-01,LARGE_ORDER
MED-0020,2025-05-01,LARGE_ORDER
MED-0021,2024-05-01,REACTIVATION
MED-0021,2025-05-01,REACTIVATION
MED-0022,2022-01-01,NEW_PRODUCT
MED-0023,2022-01-01,NEW_PRODUCT
MED-0025,2022-01-01,NEW_PRODUCT
MED-0026,2022-09-01,REACTIVATION
MED-0026,2025-03-01,MAINTENANCE_EVENT
MED-0027,2023-07-01,NEW_PRODUCT
MED-0028,2022-01-01,NEW_PRODUCT
MED-0029,2023-07-01,NEW_PRODUCT
MED-0029,2025-04-01,MAINTENANCE_EVENT
MED-0030,2023-07-01,NEW_PRODUCT
MED-0031,2024-10-01,REACTIVATION
MED-0032,2024-07-01,NEW_PRODUCT
MED-0032,2025-04-01,MAINTENANCE_EVENT
MED-0034,2024-01-01,NEW_PRODUCT
MED-0034,2024-08-01,LARGE_ORDER
MED-0035,2022-01-01,NEW_PRODUCT
MED-0037,2025-10-01,LARGE_ORDER
MED-0039,2023-01-01,NEW_PRODUCT
MED-0040,2024-04-01,REACTIVATION
MED-0041,2024-01-01,REACTIVATION
MED-0042,2025-01-01,REACTIVATION
MED-0044,2023-01-01,NEW_PRODUCT
MED-0044,2024-07-01,LARGE_ORDER
MED-0045,2024-09-01,REACTIVATION
MED-0047,2022-01-01,NEW_PRODUCT
MED-0047,2023-04-01,LARGE_ORDER
MED-0048,2022-12-01,REACTIVATION
MED-0048,2023-12-01,REACTIVATION
MED-0051,2022-01-01,NEW_PRODUCT
MED-0052,2022-01-01,NEW_PRODUCT
MED-0052,2023-02-01,REACTIVATION
MED-0053,2023-01-01,NEW_PRODUCT
MED-0053,2025-09-01,LARGE_ORDER
MED-0054,2025-04-01,REACTIVATION
MED-0055,2022-05-01,MAINTENANCE_EVENT
MED-0055,2024-10-01,REACTIVATION
MED-0057,2023-05-01,EMERGENCY_REPLACEMENT
MED-0058,2025-10-01,EMERGENCY_REPLACEMENT
MED-0059,2022-07-01,NEW_PRODUCT
MED-0059,2023-01-01,LARGE_ORDER
MED-0060,2024-07-01,NEW_PRODUCT
MED-0061,2022-01-01,NEW_PRODUCT
MED-0061,2023-06-01,LARGE_ORDER
MED-0061,2025-07-01,LARGE_ORDER
MED-0062,2022-07-01,NEW_PRODUCT
MED-0063,2022-01-01,NEW_PRODUCT
MED-0063,2023-07-01,LARGE_ORDER
MED-0063,2025-04-01,MAINTENANCE_EVENT
MED-0065,2022-07-01,REACTIVATION
MED-0067,2024-07-01,NEW_PRODUCT
MED-0068,2022-07-01,NEW_PRODUCT
MED-0068,2025-04-01,MAINTENANCE_EVENT
MED-0069,2022-01-01,NEW_PRODUCT
MED-0070,2022-01-01,NEW_PRODUCT
MED-0073,2022-03-01,EMERGENCY_REPLACEMENT
MED-0073,2023-01-01,REACTIVATION
MED-0073,2023-09-01,EMERGENCY_REPLACEMENT
MED-0074,2022-01-01,NEW_PRODUCT
MED-0074,2025-07-01,REACTIVATION
MED-0076,2024-01-01,NEW_PRODUCT
MED-0077,2022-01-01,NEW_PRODUCT
MED-0078,2025-05-01,LARGE_ORDER
MED-0080,2023-06-01,REACTIVATION
MED-0080,2023-07-01,LARGE_ORDER
MED-0081,2023-01-01,NEW_PRODUCT
MED-0081,2023-05-01,LARGE_ORDER
MED-0082,2023-01-01,NEW_PRODUCT
MED-0082,2025-09-01,REACTIVATION
MED-0083,2022-01-01,NEW_PRODUCT
MED-0083,2023-09-01,REACTIVATION
MED-0084,2025-05-01,REACTIVATION
MED-0085,2024-07-01,EMERGENCY_REPLACEMENT
MED-0085,2025-03-01,REACTIVATION
MED-0086,2023-07-01,NEW_PRODUCT
MED-0087,2025-12-01,REACTIVATION
MED-0088,2022-01-01,NEW_PRODUCT
MED-0089,2023-01-01,NEW_PRODUCT
MED-0089,2023-04-01,LARGE_ORDER
MED-0089,2024-02-01,LARGE_ORDER
MED-0089,2025-09-01,MAINTENANCE_EVENT
MED-0089,2025-11-01,LARGE_ORDER
MED-0090,2023-01-01,NEW_PRODUCT
MED-0091,2023-01-01,EMERGENCY_REPLACEMENT
MED-0091,2023-03-01,REACTIVATION
MED-0091,2024-03-01,REACTIVATION
MED-0092,2022-01-01,NEW_PRODUCT
MED-0092,2024-01-01,LARGE_ORDER
MED-0093,2024-12-01,REACTIVATION
MED-0094,2023-07-01,REACTIVATION
MED-0094,2025-06-01,REACTIVATION
MED-0096,2022-01-01,NEW_PRODUCT
MED-0096,2022-09-01,MAINTENANCE_EVENT
MED-0097,2024-04-01,REACTIVATION
MED-0099,2022-07-01,NEW_PRODUCT
MED-0101,2024-01-01,NEW_PRODUCT
MED-0101,2025-06-01,REACTIVATION
MED-0104,2023-01-01,NEW_PRODUCT
MED-0105,2022-01-01,NEW_PRODUCT
MED-0105,2025-05-01,LARGE_ORDER
MED-0106,2023-07-01,NEW_PRODUCT
MED-0108,2023-01-01,NEW_PRODUCT
MED-0109,2022-01-01,NEW_PRODUCT
MED-0110,2025-03-01,REACTIVATION
MED-0110,2025-10-01,LARGE_ORDER
MED-0110,2025-12-01,LARGE_ORDER
MED-0111,2022-01-01,NEW_PRODUCT
MED-0112,2022-07-01,NEW_PRODUCT
MED-0113,2022-01-01,NEW_PRODUCT
MED-0114,2023-01-01,NEW_PRODUCT
MED-0114,2024-01-01,REACTIVATION
MED-0115,2022-07-01,NEW_PRODUCT
MED-0116,2024-07-01,NEW_PRODUCT
MED-0116,2025-04-01,REACTIVATION
MED-0117,2022-01-01,NEW_PRODUCT
MED-0118,2022-01-01,NEW_PRODUCT
MED-0118,2024-08-01,REACTIVATION
MED-0120,2022-01-01,NEW_PRODUCT
MED-0121,2024-07-01,NEW_PRODUCT
MED-0123,2022-01-01,NEW_PRODUCT
MED-0123,2025-10-01,LARGE_ORDER
MED-0124,2022-01-01,NEW_PRODUCT
MED-0125,2022-01-01,NEW_PRODUCT
MED-0126,2023-07-01,NEW_PRODUCT
MED-0127,2022-01-01,NEW_PRODUCT
MED-0129,2022-01-01,NEW_PRODUCT
MED-0129,2024-10-01,LARGE_ORDER
MED-0130,2024-07-01,NEW_PRODUCT
MED-0131,2022-01-01,NEW_PRODUCT
MED-0131,2023-06-01,LARGE_ORDER
MED-0132,2024-10-01,REACTIVATION
MED-0133,2022-01-01,NEW_PRODUCT
MED-0134,2024-07-01,NEW_PRODUCT
MED-0135,2024-07-01,NEW_PRODUCT
MED-0136,2022-01-01,NEW_PRODUCT
MED-0136,2024-08-01,LARGE_ORDER
MED-0137,2022-10-01,REACTIVATION
MED-0137,2025-01-01,REACTIVATION
MED-0138,2023-03-01,REACTIVATION
MED-0139,2023-07-01,NEW_PRODUCT
MED-0139,2025-10-01,MAINTENANCE_EVENT
MED-0140,2024-02-01,EMERGENCY_REPLACEMENT
MED-0140,2025-11-01,LARGE_ORDER
MED-0141,2025-06-01,REACTIVATION
MED-0142,2022-01-01,NEW_PRODUCT
MED-0143,2024-12-01,REACTIVATION
MED-0143,2025-08-01,REACTIVATION
MED-0144,2022-01-01,NEW_PRODUCT
MED-0145,2022-01-01,NEW_PRODUCT
MED-0145,2024-10-01,LARGE_ORDER
MED-0148,2022-01-01,NEW_PRODUCT
MED-0149,2025-05-01,REACTIVATION
