PART_ID,DATE,DEMAND,MICROAREA
MED-0001,2023-07-01,9,WEST
MED-0001,2023-08-01,0,WEST
MED-0001,2023-09-01,0,NORTH
MED-0001,2023-10-01,0,WEST
MED-0001,2023-11-01,0,WEST
MED-0001,2023-12-01,0,WEST
MED-0001,2024-01-01,0,SOUTH
MED-0001,2024-02-01,0,WEST
MED-0001,2024-03-01,0,WEST
MED-0001,2024-04-01,44,CENTRAL
MED-0001,2024-05-01,0,WEST
MED-0001,2024-06-01,0,WEST
MED-0001,2024-07-01,0,CENTRAL
MED-0001,2024-08-01,0,WEST
MED-0001,2024-09-01,9,SOUTH
MED-0001,2024-10-01,0,WEST
MED-0001,2024-11-01,12,EAST
MED-0001,2024-12-01,0,NORTH
MED-0001,2025-01-01,0,WEST
MED-0001,2025-02-01,0,WEST
MED-0001,2025-03-01,14,WEST
MED-0001,2025-04-01,18,SOUTH
MED-0001,2025-05-01,0,WEST
MED-0001,2025-06-01,0,WEST
MED-0001,2025-07-01,0,WEST
MED-0001,2025-08-01,8,CENTRAL
MED-0001,2025-09-01,0,WEST
MED-0001,2025-10-01,0,SOUTH
MED-0001,2025-11-01,0,WEST
MED-0001,2025-12-01,0,NORTH
MED-0002,2022-01-01,4,CENTRAL
MED-0002,2022-02-01,2,CENTRAL
MED-0002,2022-03-01,0,CENTRAL
MED-0002,2022-04-01,0,CENTRAL
MED-0002,2022-05-01,0,WEST
MED-0002,2022-06-01,0,CENTRAL
MED-0002,2022-07-01,0,CENTRAL
MED-0002,2022-08-01,0,WEST
MED-0002,2022-09-01,0,CENTRAL
MED-0002,2022-10-01,5,CENTRAL
MED-0002,2022-11-01,0,CENTRAL
MED-0002,2022-12-01,8,CENTRAL
MED-0002,2023-01-01,0,CENTRAL
MED-0002,2023-02-01,0,CENTRAL
MED-0002,2023-03-01,7,CENTRAL
MED-0002,2023-04-01,0,CENTRAL
MED-0002,2023-05-01,0,CENTRAL
MED-0002,2023-06-01,0,CENTRAL
MED-0002,2023-07-01,4,EAST
MED-0002,2023-08-01,0,CENTRAL
MED-0002,2023-09-01,0,WEST
MED-0002,2023-10-01,0,CENTRAL
MED-0002,2023-11-01,8,CENTRAL
MED-0002,2023-12-01,0,NORTH
MED-0002,2024-01-01,0,CENTRAL
MED-0002,2024-02-01,0,CENTRAL
MED-0002,2024-03-01,0,CENTRAL
MED-0002,2024-04-01,0,CENTRAL
MED-0002,2024-05-01,7,CENTRAL
